time;isin;high;low;last;vol#
200601300900;OMX;959.35;959.35;959.35;575.4253
200601300930;OMX;960.09;956.73;958.31;1252.7469
200601301000;OMX;961.27;958.63;961.27;2452.8809
200601301030;OMX;962.36;960.87;962.04;3310.4724
200601301100;OMX;962.17;959.7;960.28;3728.991
200601301130;OMX;960.83;958.99;959.3;4436.6016
200601301200;OMX;959.16;957.51;958.26;4811.8452
200601301230;OMX;958.96;956.4;957.48;5302.8657
200601301300;OMX;957.77;956.61;957.35;5581.8804
200601301330;OMX;957.9;957.07;957.77;5922.4937
200601301400;OMX;959.03;956.82;958.87;6368.042
200601301430;OMX;959.53;958.04;959.06;6881.6587
200601301500;OMX;960.93;958.77;960.93;8400.0596
200601301530;OMX;961.34;959.92;960.29;9404.8682
200601301600;OMX;961.07;959.72;959.82;10663.7002
200601301630;OMX;961.03;959.63;960.03;11503.5137
200601301700;OMX;962.21;959.91;962.21;12529.1055
200601301730;OMX;961.59;958.77;958.99;14187.6953
200601310900;OMX;958.99;958.99;958.99;582.816
200601310930;OMX;965.57;959.02;965.57;4450.7056
200601311000;OMX;966.8;964.3;965.06;7235.7251
200601311030;OMX;965.73;963.06;964.05;8407.8711
200601311100;OMX;963.84;960.52;961.17;9878.085
200601311130;OMX;962.29;959.92;960.9;10884.0527
200601311200;OMX;961.28;959.68;959.68;12293.6729
200601311230;OMX;960.77;958.61;959.15;13027.6396
200601311300;OMX;959.66;956.8;957.66;13808.1348
200601311330;OMX;959.04;957.36;958.19;14809.1094
200601311400;OMX;959.17;957.83;958.84;15856.0596
200601311430;OMX;959.45;957.85;958.72;16750.5645
200601311500;OMX;958.87;956.54;957.88;18388.334
200601311530;OMX;958.43;957.14;957.48;19982.9297
200601311600;OMX;957.83;955.53;955.78;21530.252
200601311630;OMX;958.34;955.45;957.58;23326.9316
200601311700;OMX;962.79;957.59;962.79;26613.2852
200601311730;OMX;964.26;961.98;961.98;28927.9277
200602010900;OMX;961.98;961.98;961.98;182.8109
200602010930;OMX;965.27;962.52;963.63;2333.9836
200602011000;OMX;965.29;962.91;965.29;3326.8757
200602011030;OMX;967.6;965.46;966.58;4975.9551
200602011100;OMX;967.48;965.63;966.74;5865.4629
200602011130;OMX;967.34;966.04;966.54;6870.9878
200602011200;OMX;967.31;965.91;966.51;7463.6792
200602011230;OMX;968.01;966.58;967.09;8578.2217
200602011300;OMX;968.73;967;968.73;9300.333
200602011330;OMX;969.21;967.52;968.11;9822.1338
200602011400;OMX;968.31;967.05;967.92;10528.0869
200602011430;OMX;968.43;965.56;965.87;11225.7002
200602011500;OMX;967.38;965.38;967.09;12195.918
200602011530;OMX;967.71;965.39;967.11;13119.6123
200602011600;OMX;968.19;966.49;966.97;14188.4463
200602011630;OMX;970.23;967.04;969.9;15945.6563
200602011700;OMX;970.71;968.54;969.3;17144.2461
200602011730;OMX;970.42;968.74;968.9;18792.5195
200602020900;OMX;968.9;968.9;968.9;808.4131
200602020930;OMX;975.62;970.12;973.23;1976.1222
200602021000;OMX;973.6;970.82;971.25;2956.4182
200602021030;OMX;971.57;969.86;970.61;3823.4973
200602021100;OMX;972.38;970.11;971;4674.2119
200602021130;OMX;971.9;969.72;970.49;5669.2163
200602021200;OMX;972.38;970.33;972.22;6499.5005
200602021230;OMX;971.96;970.35;970.89;8044.4819
200602021300;OMX;971.35;969.48;970.79;8918.7207
200602021330;OMX;975.11;970.03;972.43;11548.125
200602021400;OMX;972.9;970.98;971.86;13326.1855
200602021430;OMX;973.68;971.81;972.96;15436.3506
200602021500;OMX;973.43;972.27;972.73;16268.335
200602021530;OMX;973.91;972.46;972.83;17135.9941
200602021600;OMX;973.52;970.98;973.15;18672.1582
200602021630;OMX;974.48;972.02;973.6;20380.1191
200602021700;OMX;973.42;970.66;971.33;22220.8066
200602021730;OMX;971.91;968.82;969.68;24295.0313
200602030900;OMX;969.68;969.68;969.68;1306.3785
200602030930;OMX;970.55;965.58;967.17;4891.9326
200602031000;OMX;969.04;966.85;967.9;6584.5752
200602031030;OMX;968.64;965.49;966.04;8314.1182
200602031100;OMX;967.29;965.94;966.87;9401.6348
200602031130;OMX;967.77;966.31;967.59;10028.4424
200602031200;OMX;967.92;966.49;967.55;10826.5557
200602031230;OMX;968.23;966.69;967.41;11381.6055
200602031300;OMX;968.74;967.22;968.34;11787.6357
200602031330;OMX;968.63;966.5;966.5;12494.8574
200602031400;OMX;968.18;966.16;968.18;12983.0195
200602031430;OMX;968.42;966.9;968.41;13816.624
200602031500;OMX;968.41;965.43;965.86;15084.0127
200602031530;OMX;965.43;962.87;964.15;16571.0762
200602031600;OMX;964.2;962.35;962.35;17751.7539
200602031630;OMX;964.01;962.36;963.49;18728.9121
200602031700;OMX;964.24;962;963.72;20097.0879
200602031730;OMX;964.9;962.72;963.14;21579.625
200602060900;OMX;963.14;963.14;963.14;966.3837
200602060930;OMX;965.5;963.21;965.5;1485.9066
200602061000;OMX;966.42;964.87;965.86;1968.5544
200602061030;OMX;967.15;965.61;966.7;2578.4851
200602061100;OMX;968.1;966.8;968.1;3507.9097
200602061130;OMX;968.37;966.96;968.18;3864.3381
200602061200;OMX;968.34;966.8;967.19;4234.3096
200602061230;OMX;968.37;967.12;967.33;4526.9478
200602061300;OMX;967.88;966.81;967.82;4899.4053
200602061330;OMX;967.8;966.3;966.56;5177.4722
200602061400;OMX;967.63;966.07;967.17;5638.3477
200602061430;OMX;968.73;966.5;968.73;6166.5083
200602061500;OMX;968.95;967.27;968.92;6658.915
200602061530;OMX;968.9;967.01;967.62;7272.1201
200602061600;OMX;969.2;967.13;968.68;8265.0186
200602061630;OMX;968.75;966.71;966.71;9125.335
200602061700;OMX;968.64;966.52;967.6;10017.3613
200602061730;OMX;969.04;967.91;968.45;11022.4111
200602070900;OMX;968.45;968.45;968.45;252.5226
200602070930;OMX;971.29;968.68;971.28;1012.6566
200602071000;OMX;972.12;970.11;970.4;1618.6841
200602071030;OMX;971.31;968.3;968.3;2382.7764
200602071100;OMX;969.08;966.32;967.07;3283.6577
200602071130;OMX;967.22;965.21;965.66;3945.9685
200602071200;OMX;965.92;964.7;965.35;4658.7925
200602071230;OMX;965.98;964.4;965.62;5076.8306
200602071300;OMX;966.03;964.26;965.86;5736.2178
200602071330;OMX;965.85;964.69;965.12;6012.5713
200602071400;OMX;965.12;962.27;962.27;6905.1025
200602071430;OMX;963.4;962.25;963.4;7614.0288
200602071500;OMX;963.88;962.69;962.93;8260.2666
200602071530;OMX;963.81;962.06;963.08;9071.1982
200602071600;OMX;965.57;961.94;964.51;10701.4834
200602071630;OMX;965.31;961.44;962.8;11915.0791
200602071700;OMX;963.39;961.22;962.57;13173.7803
